Data;Índice Geral de Preços do Mercado - IGP-M(200045);Índice Geral de Preços - IGP-DI (161384);IGP-M - Fechamento mensal (%)(1000367)
01/1944; - ;8,371376E-014; - 
02/1944; - ;8,492700E-014; - 
03/1944; - ;8,614024E-014; - 
04/1944; - ;8,735348E-014; - 
05/1944; - ;8,856673E-014; - 
06/1944; - ;8,977997E-014; - 
07/1944; - ;9,099321E-014; - 
08/1944; - ;9,220646E-014; - 
09/1944; - ;9,341970E-014; - 
10/1944; - ;9,584618E-014; - 
11/1944; - ;9,827267E-014; - 
12/1944; - ;9,827267E-014; - 
01/1945; - ;9,948591E-014; - 
02/1945; - ;1,019124E-013; - 
03/1945; - ;1,006991E-013; - 
04/1945; - ;1,006991E-013; - 
05/1945; - ;1,019124E-013; - 
06/1945; - ;1,031256E-013; - 
07/1945; - ;1,043388E-013; - 
08/1945; - ;1,055521E-013; - 
09/1945; - ;1,055521E-013; - 
10/1945; - ;1,067653E-013; - 
11/1945; - ;1,079786E-013; - 
12/1945; - ;1,091918E-013; - 
01/1946; - ;1,104051E-013; - 
02/1946; - ;1,116183E-013; - 
03/1946; - ;1,128315E-013; - 
04/1946; - ;1,140448E-013; - 
05/1946; - ;1,152580E-013; - 
06/1946; - ;1,188978E-013; - 
07/1946; - ;1,213242E-013; - 
08/1946; - ;1,261772E-013; - 
09/1946; - ;1,298169E-013; - 
10/1946; - ;1,310302E-013; - 
11/1946; - ;1,322434E-013; - 
12/1946; - ;1,334567E-013; - 
01/1947; - ;1,383096E-013; - 
02/1947; - ;1,395229E-013; - 
03/1947; - ;1,407361E-013; - 
04/1947; - ;1,370964E-013; - 
05/1947; - ;1,358832E-013; - 
06/1947; - ;1,346699E-013; - 
07/1947; - ;1,322434E-013; - 
08/1947; - ;1,322434E-013; - 
09/1947; - ;1,334567E-013; - 
10/1947; - ;1,334567E-013; - 
11/1947; - ;1,346699E-013; - 
12/1947; - ;1,370964E-013; - 
01/1948; - ;1,407361E-013; - 
02/1948; - ;1,443759E-013; - 
03/1948; - ;1,468023E-013; - 
04/1948; - ;1,455891E-013; - 
05/1948; - ;1,443759E-013; - 
06/1948; - ;1,455891E-013; - 
07/1948; - ;1,443759E-013; - 
08/1948; - ;1,455891E-013; - 
09/1948; - ;1,455891E-013; - 
10/1948; - ;1,455891E-013; - 
11/1948; - ;1,468023E-013; - 
12/1948; - ;1,480156E-013; - 
01/1949; - ;1,504421E-013; - 
02/1949; - ;1,516553E-013; - 
03/1949; - ;1,516553E-013; - 
04/1949; - ;1,516553E-013; - 
05/1949; - ;1,516553E-013; - 
06/1949; - ;1,516553E-013; - 
07/1949; - ;1,528686E-013; - 
08/1949; - ;1,540818E-013; - 
09/1949; - ;1,552950E-013; - 
10/1949; - ;1,589348E-013; - 
11/1949; - ;1,662142E-013; - 
12/1949; - ;1,662142E-013; - 
01/1950; - ;1,686407E-013; - 
02/1950; - ;1,686407E-013; - 
03/1950; - ;1,650010E-013; - 
04/1950; - ;1,637877E-013; - 
05/1950; - ;1,650010E-013; - 
06/1950; - ;1,662142E-013; - 
07/1950; - ;1,698540E-013; - 
08/1950; - ;1,747069E-013; - 
09/1950; - ;1,795599E-013; - 
10/1950; - ;1,844129E-013; - 
11/1950; - ;1,844129E-013; - 
12/1950; - ;1,868394E-013; - 
01/1951; - ;1,929056E-013; - 
02/1951; - ;1,953321E-013; - 
03/1951; - ;2,001850E-013; - 
04/1951; - ;2,026115E-013; - 
05/1951; - ;2,050380E-013; - 
06/1951; - ;2,026115E-013; - 
07/1951; - ;1,977585E-013; - 
08/1951; - ;2,001850E-013; - 
09/1951; - ;2,013983E-013; - 
10/1951; - ;2,050380E-013; - 
11/1951; - ;2,062512E-013; - 
